52596,52596,59,5566
52676,52676,83,7553
52865,52865,46,4388
52935,52935,40,3863
53133,53133,38,3547
53207,53207,43,4119
53285,53285,186,17710
53661,53661,143,13635
53825,53825,99,9460
54537,54537,87,8009
54642,54642,149,14190
54946,54946,84,7553
55048,55048,66,6273
55269,55269,37,3242
55331,55331,106,10133
55518,55518,91,8357
55629,55629,65,5932
55712,55712,51,4933
55812,55812,31,3038
55908,55908,67,6074
56060,56060,236,22287
56315,56315,51,4762
56524,56524,37,3440
56618,56618,207,19657
56998,56998,89,8275
57121,57121,52,4642
57272,57272,92,8481
57393,57393,36,3204
57477,57477,45,4019
57548,57548,70,6735
57636,57636,262,24698
57937,57937,144,13663
58099,58099,84,7689
58212,58212,151,14507
58382,58382,104,10086
58587,58587,106,10061
58712,58712,118,11225
58987,58987,50,4679
59086,59086,118,11225
59330,59330,121,11480
59459,59459,122,11706
59600,59600,188,17919
59849,59849,218,20883
60086,60086,68,6568
60184,60184,92,8683
60323,60323,135,12862
60542,60542,145,13952
60712,60712,51,4577
60791,60791,60,5721
60901,60901,143,13644
61165,61165,37,3397
61328,61328,44,4191
61409,61409,84,7803
61708,61708,81,7490
61970,61970,45,4101
62041,62041,57,5058
62248,62248,35,3194
62352,62352,266,25404
62649,62649,229,22010
62936,62936,81,7377
63125,63125,47,3993
63380,63380,140,13542
63679,63679,198,19099
63936,63936,109,10505
64063,64063,161,15498
64286,64286,41,3659
64442,64442,62,5651
64658,64658,85,7480
64775,64775,408,39019
65554,65554,71,6311
65677,65677,97,9269
65797,65797,89,8255
65911,65911,60,5446
66090,66090,78,7343
66270,66270,85,7936
66451,66451,62,5953
66534,66534,42,3377
66634,66634,54,5113
66778,66778,48,4065
66864,66864,48,4225
66930,66930,52,4621
66990,66990,41,3913
67094,67094,231,22255
67348,67348,41,3582
67518,67518,111,10543
67723,67723,55,5284
67929,67929,172,16454
68122,68122,179,17145
68465,68465,52,4819
68594,68594,68,6103
69615,69615,43,4096
69768,69768,81,7814
70132,70132,423,40447
70623,70623,43,3965
71033,71033,66,5978
71121,71121,122,11742
71294,71294,97,9323
71854,71854,40,3826
72164,72164,34,3295
72241,72241,64,5907
72460,72460,145,14051
72855,72855,50,4506
73001,73001,86,7973
73730,73730,40,3537
73998,73998,93,8210
74109,74109,202,19472
74676,74676,52,4707
74889,74889,726,69487
75672,75672,75,6694
75767,75767,176,16836
75962,75962,159,15118
76256,76256,408,39100
76776,76776,715,68405
77512,77512,214,20627
77746,77746,57,5217
77823,77823,35,3072
77943,77943,140,13263
78351,78351,51,4672
78494,78494,33,3077
78547,78547,193,18482
78761,78761,103,9941
78882,78882,294,28060
79195,79195,77,7326
79293,79293,64,6176
79377,79377,112,10760
79516,79516,74,6909
79749,79749,731,70059
80501,80501,424,40853
81105,81105,32,3118
81169,81169,42,4044
81292,81292,353,33978
81740,81740,48,4592
81812,81812,62,5965
81994,81994,57,5381
82301,82301,57,5194
82518,82518,119,11460
82715,82715,60,5765
82830,82830,52,4641
82926,82926,39,3697
82990,82990,86,8075
83105,83105,48,4605
83191,83191,140,13452
83352,83352,90,8434
83464,83464,93,9076
83587,83587,257,24603
83865,83865,260,24831
84144,84144,174,16573
84343,84343,46,4113
84485,84485,252,24067
84748,84748,102,9877
84890,84890,60,5691
85172,85172,68,6150
85395,85395,137,13188
85555,85555,161,15390
85760,85760,145,13925
85935,85935,115,11087
86071,86071,62,5914
86329,86329,139,13370
86503,86503,76,7205
86601,86601,159,15163
86800,86800,117,11296
86937,86937,34,3070
87078,87078,96,9232
87197,87197,62,5217
87328,87328,79,7065
87478,87478,142,13499
87734,87734,66,6290
87862,87862,79,7606
88015,88015,251,23805
88371,88371,56,5312
88480,88480,57,5123
88590,88590,165,15817
88821,88821,43,4170
88921,88921,86,7683
89124,89124,109,10460
89300,89300,35,3283
89424,89424,203,19383
89681,89681,38,3508
89792,89792,76,7255
89923,89923,51,4737
90097,90097,103,9941
90232,90232,57,5337
90528,90528,224,21465
90938,90938,95,9159
91443,91443,47,4484
91909,91909,85,8211
92035,92035,99,9541
92483,92483,37,3420
92572,92572,152,14598
92746,92746,48,4652
93368,93368,40,3771
93802,93802,75,6991
93959,93959,58,5275
94042,94042,63,6038
94460,94460,42,3849
94922,94922,83,8017
95023,95023,47,4517
95863,95863,66,5740
95996,95996,59,5586
96177,96177,33,3045
96314,96314,69,6675
96405,96405,81,7500
97375,97375,61,5338
97458,97458,46,3995
97628,97628,130,12614
97837,97837,330,31615
98188,98188,59,5659
98300,98300,44,3908
98733,98733,32,3045
99197,99197,198,19045
99541,99541,41,3749
100533,100533,223,21347
100778,100778,85,8031
100896,100896,42,3937
101005,101005,48,4352
101697,101697,72,6575
101810,101810,473,45366
102313,102313,115,11051
102459,102459,115,10943
102601,102601,69,6326
103351,103351,355,33863
103918,103918,62,5852
104010,104010,50,4531
104111,104111,38,3610
104279,104279,163,15644
104611,104611,468,44947
105105,105105,41,3779
105604,105604,206,19809
105849,105849,41,3994
106093,106093,46,4167
106160,106160,192,18463
106497,106497,54,5217
106623,106623,1038,99256
107943,107943,66,6209
108157,108157,35,3219
108275,108275,59,5584
108413,108413,393,37600
108825,108825,348,33262
109194,109194,95,9114
109498,109498,118,11288
109782,109782,50,4625
109855,109855,73,6787
109950,109950,39,3583
110022,110022,90,8528
110256,110256,135,12817
110495,110495,47,4084
110560,110560,1768,168764
112412,112412,60,5416
113281,113281,314,29952
114203,114203,52,4718
114288,114288,199,19109
114648,114648,255,24286
115760,115760,50,4439
115914,115914,104,9951
116317,116317,86,7812
116527,116527,109,10433
116720,116720,34,3130
116773,116773,85,8174
116976,116976,115,11042
117663,117663,82,7620
117784,117784,48,4647
118166,118166,52,4470
118283,118283,37,3056
118414,118414,58,5210
118493,118493,36,3271
118594,118594,66,6291
118970,118970,36,3041
119144,119144,35,3146
119203,119203,89,8249
119733,119733,52,4375
120148,120148,176,16764
120368,120368,94,9059
120663,120663,43,3529
120929,120929,39,3250
121287,121287,282,26860
121672,121672,34,3182
122150,122150,109,10343
122574,122574,52,4952
122647,122647,547,52217
123246,123246,53,4737
123329,123329,72,6966
123476,123476,44,4281
123910,123910,78,7361
124049,124049,165,15610
124291,124291,118,11288
124495,124495,56,5205
124681,124681,45,4133
124745,124745,80,7637
124892,124892,55,5227
124991,124991,74,6877
125096,125096,160,15200
